X,Y
26.665937220756234,42.53689955873905
29.549865382189363,43.99615735041156
12.910431234652368,55.72113907068076
43.12216646723991,61.22676796776145
15.652515318441095,39.74940049860679
23.26602107475037,27.001257335033756
34.02305133726434,62.77406051105262
20.037695307142148,60.832513229731774
21.536382249101287,38.993930474006056
22.727939080585205,49.5615504231407
34.41163235637139,49.96426104364706
48.33766410251966,52.36158073875193
30.332315143987227,47.65470372588346
21.056596439091866,63.287051141597814
34.312466564646314,22.406526443000615
25.230722401548263,58.530711394079475
29.84695602783079,49.946135612795004
39.400009756002326,42.17724150631657
24.0170324056491,60.2559094804344
30.0722020077866,14.533158517000494
22.975136854077263,60.09977937963005
28.74852663692301,50.019014618846725
32.05256361601037,30.269267442199226
22.089767609843026,50.63020321053698
27.28942427176643,41.0468762955829
28.11052775317919,78.60883328483914
24.89875990012559,68.85932539724273
20.499101708917728,50.728968341396424
18.630262181566984,35.649700061453196
28.772038434584406,37.415610270472904
27.847544318271893,40.77435483103678
47.850934311092836,37.716951418908636
10.521859387831647,33.27080111508348
30.90181203853319,37.31736041889721
32.96355629330587,41.40966660074041
40.87707090138077,38.28050938147637
34.014857654250505,35.918330650826945
23.246290369361105,32.92440498119035
30.000078091772767,78.15569706643558
34.33882057719223,25.84874777860149
27.49193442405273,31.721608503213137
36.16809390455529,50.62114411273488
15.055274763489892,40.79345908900519
43.84947732784374,50.50972120225645
41.7414240845873,55.3893399354552
27.31458129180922,61.413977623222664
34.89072623658974,54.77554303979345
30.383764734945508,32.08110721945832
23.36691768788177,59.418862657701425
30.70168174726665,22.05606953241518
38.00292709240556,43.51252313860843
26.9512598598772,38.52373547901714
26.994644615368053,31.209612527704383
29.40423389684815,52.69166476945983
33.46797064061256,42.61766454086544
40.22703384217495,58.258111481800086
24.9225655585651,25.727948788305277
34.067169941467455,56.00205459394704
31.728928050109456,51.473221928768666
15.13110091101202,46.64455427898458
26.64546814277849,26.555462835069054
28.941368812506052,41.72693646119229
29.683438082451154,24.89323005356259
32.608027467095845,17.92552483531566
13.677415610170279,87.6366902144482
30.370044185133576,57.62119716052355
24.578595381375667,68.30370708117769
18.484487786091055,39.422826859372016
34.19437144008279,54.0505737349486
35.88223660852162,54.06641153960008
24.773997857663716,52.819705577673595
36.73965025257072,45.0475733792881
26.947868145879312,42.03278174347756
30.53191207316916,18.095040585349143
21.210088424031547,52.93187312328655
42.675896451165414,50.505459705757346
8.724404348932094,59.53252753486095
29.268379016874736,41.43485284477416
35.56095684037593,67.64355845013904
13.732267631019091,39.18248860949561
